Gss year for this respondent                       ,Denied raise without reason at work,Promotions are handled fairly,A woman won't get a job or promotion             ,A man won't get a job or promotion  ,For or against preferential hiring of women      ,Favor preferences in hiring blacks,Sex makes your promotion different,Whites hurt by aff. action,Respondent id number,Ballot used for interview
2014,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,527,Ballot b
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,528,Ballot c
2014,Not applicable,Somewhat true,Not applicable,Somewhat likely,Strongly against,Not applicable,Not applicable,Not applicable,529,Ballot b
2014,Not applicable,Very true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,530,Ballot c
2014,Not applicable,Somewhat true,Somewhat unlikely,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,531,Ballot a
2014,Not applicable,Not too true,Very likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,532,Ballot b
2014,Not applicable,Not applicable,Not applicable,Very likely,Strongly for,Not applicable,Not applicable,Not applicable,533,Ballot b
2014,Not applicable,Somewhat true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,534,Ballot c
2014,Not applicable,Not applicable,Somewhat unlikely,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,535,Ballot a
2014,Not applicable,Very true,Not applicable,Somewhat likely,Against,Not applicable,Not applicable,Not very likely,536,Ballot a
2014,Not applicable,Somewhat true,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,537,Ballot a
2014,Not applicable,No answer,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,538,Ballot c
2014,Not applicable,Very true,Not applicable,Somewhat likely,Against,Not applicable,Not applicable,Somewhat likely,539,Ballot a
2014,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,540,Ballot b
2014,Not applicable,Very true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,541,Ballot c
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,542,Ballot c
2014,Not applicable,Not applicable,Not applicable,Somewhat likely,Against,Not applicable,Not applicable,Not applicable,543,Ballot b
2014,Not applicable,Somewhat true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,544,Ballot c
2014,Not applicable,Somewhat true,Not applicable,Somewhat unlikely,Against,Not applicable,Not applicable,Not applicable,545,Ballot b
2014,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,546,Ballot b
2014,Not applicable,Very true,Not applicable,Very unlikely,Strongly against,Not applicable,Not applicable,Somewhat likely,547,Ballot a
2014,Not applicable,Not applicable,Not applicable,Somewhat likely,Against,Not applicable,Not applicable,Not very likely,548,Ballot a
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,549,Ballot c
2014,Not applicable,Not applicable,Not applicable,Very unlikely,Against,Not applicable,Not applicable,Not very likely,550,Ballot a
2014,Not applicable,Not applicable,Somewhat unlikely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,551,Ballot b
2014,Not applicable,Dont know,Somewhat unlikely,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,552,Ballot a
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Very likely,553,Ballot c
2014,Not applicable,Not applicable,Dont know,Not applicable,Not applicable,Not applicable,Not applicable,Dont know,554,Ballot a
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Dont know,555,Ballot c
2014,Not applicable,Somewhat true,Not applicable,Somewhat likely,Strongly against,Not applicable,Not applicable,Not applicable,556,Ballot b
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,557,Ballot c
2014,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,558,Ballot a
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,559,Ballot c
2014,Not applicable,Dont know,Not applicable,Somewhat likely,Strongly for,Not applicable,Not applicable,Very likely,560,Ballot a
2014,Not applicable,Not applicable,Somewhat unlikely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,561,Ballot b
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,562,Ballot c
2014,Not applicable,Not applicable,Not applicable,Very likely,Strongly for,Not applicable,Not applicable,Not applicable,563,Ballot b
2014,Not applicable,Somewhat true,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,564,Ballot a
2014,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,565,Ballot b
2014,Not applicable,Not applicable,Not applicable,Somewhat likely,Strongly against,Not applicable,Not applicable,Not applicable,566,Ballot b
2014,Not applicable,Not too true,Not applicable,Very unlikely,Against,Not applicable,Not applicable,Not very likely,567,Ballot a
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Very likely,568,Ballot c
2014,Not applicable,Not applicable,Somewhat unlikely,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,569,Ballot a
2014,Not applicable,Very true,Dont know,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,570,Ballot a
2014,Not applicable,Not applicable,Not applicable,Somewhat unlikely,Strongly against,Not applicable,Not applicable,Not very likely,571,Ballot a
2014,Not applicable,Somewhat true,Not applicable,Very likely,Strongly for,Not applicable,Not applicable,Not applicable,572,Ballot b
2014,Not applicable,Somewhat true,Not applicable,Somewhat unlikely,Strongly against,Not applicable,Not applicable,Not very likely,573,Ballot a
2014,Not applicable,Not too true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Very likely,574,Ballot c
2014,Not applicable,Not applicable,Not applicable,Very likely,Strongly for,Not applicable,Not applicable,Not applicable,575,Ballot b
2014,Not applicable,Not applicable,Not applicable,Very unlikely,Against,Not applicable,Not applicable,Not very likely,576,Ballot a
2014,Not applicable,Somewhat true,Very likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,577,Ballot b
2014,Not applicable,Not applicable,Somewhat unlikely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,578,Ballot b
2014,Not applicable,Not applicable,Not applicable,Somewhat likely,Strongly against,Not applicable,Not applicable,Not applicable,579,Ballot b
2014,Not applicable,Somewhat true,Very likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,580,Ballot b
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,581,Ballot c
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,582,Ballot c
2014,Not applicable,Very true,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,583,Ballot b
2014,Not applicable,Not applicable,Somewhat unlikely,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,584,Ballot a
2014,Not applicable,Very true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,585,Ballot c
2014,Not applicable,Not too true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,586,Ballot c
2014,Not applicable,Not too true,Not applicable,Somewhat likely,For,Not applicable,Not applicable,Somewhat likely,587,Ballot a
2014,Not applicable,Very true,Not applicable,Somewhat unlikely,Strongly against,Not applicable,Not applicable,Not very likely,588,Ballot a
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Very likely,589,Ballot c
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,590,Ballot c
2014,Not applicable,Not at all true,Very likely,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,591,Ballot a
2014,Not applicable,Not too true,Not applicable,Somewhat unlikely,Strongly against,Not applicable,Not applicable,Very likely,592,Ballot a
2014,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,593,Ballot a
2014,Not applicable,Not applicable,Somewhat unlikely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,594,Ballot b
2014,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,595,Ballot b
2014,Not applicable,Somewhat true,Not applicable,Somewhat likely,Against,Not applicable,Not applicable,Somewhat likely,596,Ballot a
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,597,Ballot c
2014,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,598,Ballot a
2014,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,599,Ballot a
2014,Not applicable,Very true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Very likely,600,Ballot c
2014,Not applicable,Not applicable,Not applicable,Somewhat likely,Strongly for,Not applicable,Not applicable,Not applicable,601,Ballot b
2014,Not applicable,Somewhat true,Very likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,602,Ballot b
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,603,Ballot c
2014,Not applicable,Not at all true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,604,Ballot c
2014,Not applicable,Not too true,Not applicable,Very likely,Strongly against,Not applicable,Not applicable,Not applicable,605,Ballot b
2014,Not applicable,Not applicable,Somewhat unlikely,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,606,Ballot a
2014,Not applicable,Not applicable,Not applicable,Very unlikely,Strongly for,Not applicable,Not applicable,Not applicable,607,Ballot b
2014,Not applicable,Not applicable,Not applicable,Somewhat likely,Strongly against,Not applicable,Not applicable,Not applicable,608,Ballot b
2014,Not applicable,Not applicable,Not applicable,Very unlikely,Strongly for,Not applicable,Not applicable,Not applicable,609,Ballot b
2014,Not applicable,Not applicable,Not applicable,Somewhat likely,Against,Not applicable,Not applicable,Not applicable,610,Ballot b
2014,Not applicable,Somewhat true,Not applicable,Somewhat likely,Strongly against,Not applicable,Not applicable,Not very likely,611,Ballot a
2014,Not applicable,Not at all true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Very likely,612,Ballot c
2014,Not applicable,Very true,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,613,Ballot b
2014,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,614,Ballot b
2014,Not applicable,Somewhat true,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,615,Ballot a
2014,Not applicable,Very true,Somewhat unlikely,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,616,Ballot a
2014,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,617,Ballot b
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Dont know,618,Ballot c
2014,Not applicable,Somewhat true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,619,Ballot c
2014,Not applicable,Somewhat true,Not applicable,Somewhat unlikely,For,Not applicable,Not applicable,Not applicable,620,Ballot b
2014,Not applicable,Not applicable,Not applicable,Somewhat likely,Against,Not applicable,Not applicable,Somewhat likely,621,Ballot a
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,622,Ballot c
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Dont know,623,Ballot c
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,624,Ballot c
2014,Not applicable,Not too true,Very likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,625,Ballot b
2014,Not applicable,Somewhat true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,626,Ballot c
2014,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,627,Ballot b
2014,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,628,Ballot b
2014,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,629,Ballot b
2014,Not applicable,Dont know,Not applicable,Somewhat unlikely,Against,Not applicable,Not applicable,Not very likely,630,Ballot a
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,631,Ballot c
2014,Not applicable,Very true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,632,Ballot c
2014,Not applicable,Very true,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,633,Ballot b
2014,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,634,Ballot b
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,635,Ballot c
2014,Not applicable,Not too true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,636,Ballot c
2014,Not applicable,Not applicable,Not applicable,Somewhat likely,Strongly for,Not applicable,Not applicable,Somewhat likely,637,Ballot a
2014,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,638,Ballot b
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,639,Ballot c
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,640,Ballot c
2014,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,641,Ballot b
2014,Not applicable,Somewhat true,Not applicable,Somewhat likely,Strongly against,Not applicable,Not applicable,Not applicable,642,Ballot b
2014,Not applicable,Very true,Very likely,Not applicable,Not applicable,Not applicable,Not applicable,Very likely,643,Ballot a
2014,Not applicable,Not applicable,Very unlikely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,644,Ballot b
2014,Not applicable,Not applicable,Not applicable,Somewhat unlikely,Strongly for,Not applicable,Not applicable,Very likely,645,Ballot a
2014,Not applicable,Somewhat true,Somewhat unlikely,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,646,Ballot a
2014,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,647,Ballot a
2014,Not applicable,Somewhat true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,648,Ballot c
2014,Not applicable,Not at all true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,649,Ballot c
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,650,Ballot c
2014,Not applicable,Not applicable,Somewhat unlikely,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,651,Ballot a
2014,Not applicable,Not applicable,Somewhat unlikely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,652,Ballot b
2014,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,653,Ballot b
2014,Not applicable,Very true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,654,Ballot c
2014,Not applicable,Not applicable,Dont know,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,655,Ballot a
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,656,Ballot c
2014,Not applicable,Somewhat true,Not applicable,Somewhat unlikely,Against,Not applicable,Not applicable,Not applicable,657,Ballot b
2014,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,658,Ballot a
2014,Not applicable,Very true,Somewhat unlikely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,659,Ballot b
2014,Not applicable,Not too true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Very likely,660,Ballot c
2014,Not applicable,Not applicable,Not applicable,Very unlikely,Against,Not applicable,Not applicable,Not very likely,661,Ballot a
2014,Not applicable,Not too true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,662,Ballot c
2014,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,663,Ballot b
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Very likely,664,Ballot c
2014,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,665,Ballot b
2014,Not applicable,Not at all true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,666,Ballot c
2014,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,667,Ballot a
2014,Not applicable,Not at all true,Not applicable,Somewhat likely,For,Not applicable,Not applicable,Not applicable,668,Ballot b
2014,Not applicable,Somewhat true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,669,Ballot c
2014,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,670,Ballot a
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Very likely,671,Ballot c
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,672,Ballot c
2014,Not applicable,Somewhat true,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,673,Ballot a
2014,Not applicable,Very true,Not applicable,Somewhat likely,Against,Not applicable,Not applicable,Somewhat likely,674,Ballot a
2014,Not applicable,Not at all true,Very likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,675,Ballot b
2014,Not applicable,Very true,Not applicable,Somewhat unlikely,Strongly for,Not applicable,Not applicable,Not very likely,676,Ballot a
2014,Not applicable,Not applicable,Not applicable,Very likely,Strongly for,Not applicable,Not applicable,Very likely,677,Ballot a
2014,Not applicable,Not applicable,Very unlikely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,678,Ballot b
2014,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,679,Ballot b
2014,Not applicable,Not applicable,Not applicable,Very unlikely,Against,Not applicable,Not applicable,Not applicable,680,Ballot b
2014,Not applicable,Very true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Very likely,681,Ballot c
2014,Not applicable,Somewhat true,Very unlikely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,682,Ballot b
2014,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,683,Ballot b
2014,Not applicable,Somewhat true,Not applicable,Very likely,Against,Not applicable,Not applicable,Not very likely,684,Ballot a
2014,Not applicable,Not too true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,685,Ballot c
2014,Not applicable,Somewhat true,Somewhat unlikely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,686,Ballot b
2014,Not applicable,Somewhat true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,687,Ballot c
2014,Not applicable,Not too true,Not applicable,Dont know,Strongly against,Not applicable,Not applicable,Not applicable,688,Ballot b
2014,Not applicable,Not applicable,Not applicable,Very unlikely,Against,Not applicable,Not applicable,Very likely,689,Ballot a
2014,Not applicable,Somewhat true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,690,Ballot c
2014,Not applicable,Not too true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,691,Ballot c
2014,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,692,Ballot b
2014,Not applicable,Not applicable,Somewhat unlikely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,693,Ballot b
2014,Not applicable,Not applicable,Not applicable,Somewhat unlikely,Don't know,Not applicable,Not applicable,Not very likely,694,Ballot a
2014,Not applicable,Somewhat true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,695,Ballot c
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,696,Ballot c
2014,Not applicable,Not too true,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,697,Ballot b
2014,Not applicable,Somewhat true,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,698,Ballot a
2014,Not applicable,Not applicable,Not applicable,Somewhat unlikely,Strongly against,Not applicable,Not applicable,Not applicable,699,Ballot b
2014,Not applicable,Not applicable,Not applicable,Somewhat likely,For,Not applicable,Not applicable,Not applicable,700,Ballot b
2014,Not applicable,Somewhat true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,701,Ballot c
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,702,Ballot c
2014,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,703,Ballot b
2014,Not applicable,Somewhat true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,704,Ballot c
2014,Not applicable,Somewhat true,Not applicable,Somewhat likely,For,Not applicable,Not applicable,Not very likely,705,Ballot a
2014,Not applicable,Somewhat true,Not applicable,Very likely,Strongly for,Not applicable,Not applicable,Not applicable,706,Ballot b
2014,Not applicable,Not applicable,Somewhat unlikely,Not applicable,Not applicable,Not applicable,Not applicable,Very likely,707,Ballot a
2014,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,708,Ballot b
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,709,Ballot c
2014,Not applicable,Somewhat true,Not applicable,Somewhat unlikely,Against,Not applicable,Not applicable,Not very likely,710,Ballot a
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,711,Ballot c
2014,Not applicable,Dont know,Not applicable,Very likely,For,Not applicable,Not applicable,Very likely,712,Ballot a
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,713,Ballot c
2014,Not applicable,Somewhat true,Not applicable,Somewhat likely,Against,Not applicable,Not applicable,Somewhat likely,714,Ballot a
2014,Not applicable,Not too true,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,715,Ballot b
2014,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,716,Ballot b
2014,Not applicable,Not applicable,Not applicable,Dont know,Strongly for,Not applicable,Not applicable,Not very likely,717,Ballot a
2014,Not applicable,Not too true,Not applicable,Somewhat likely,Strongly for,Not applicable,Not applicable,Somewhat likely,718,Ballot a
2014,Not applicable,Somewhat true,Very unlikely,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,719,Ballot a
2014,Not applicable,Somewhat true,Not applicable,Somewhat unlikely,Against,Not applicable,Not applicable,Not applicable,720,Ballot b
2014,Not applicable,Not applicable,Somewhat unlikely,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,721,Ballot a
2014,Not applicable,Somewhat true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,722,Ballot c
2014,Not applicable,Somewhat true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,723,Ballot c
2014,Not applicable,Not at all true,Not applicable,Somewhat likely,No answer,Not applicable,Not applicable,Not very likely,724,Ballot a
2014,Not applicable,Not too true,Not applicable,Very likely,Strongly for,Not applicable,Not applicable,Somewhat likely,725,Ballot a
2014,Not applicable,Very true,Not applicable,Somewhat unlikely,Strongly against,Not applicable,Not applicable,Not applicable,726,Ballot b
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,727,Ballot c
2014,Not applicable,Not applicable,Not applicable,Somewhat likely,Against,Not applicable,Not applicable,Somewhat likely,728,Ballot a
2014,Not applicable,Somewhat true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,729,Ballot c
2014,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,730,Ballot b
2014,Not applicable,Somewhat true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,731,Ballot c
2014,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,732,Ballot b
2014,Not applicable,Not too true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Very likely,733,Ballot c
2014,Not applicable,Somewhat true,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,734,Ballot b
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,735,Ballot c
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,736,Ballot c
2014,Not applicable,Somewhat true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Very likely,737,Ballot c
2014,Not applicable,Not at all true,Not applicable,Somewhat likely,Strongly against,Not applicable,Not applicable,Somewhat likely,738,Ballot a
2014,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,739,Ballot b
2014,Not applicable,Not applicable,Not applicable,Somewhat likely,Strongly against,Not applicable,Not applicable,Not applicable,740,Ballot b
2014,Not applicable,Not too true,Not applicable,Somewhat likely,Against,Not applicable,Not applicable,Not very likely,741,Ballot a
2014,Not applicable,Not applicable,Not applicable,Very likely,No answer,Not applicable,Not applicable,Not very likely,742,Ballot a
2014,Not applicable,Not applicable,Not applicable,Dont know,Strongly for,Not applicable,Not applicable,Somewhat likely,743,Ballot a
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,744,Ballot c
2014,Not applicable,Very true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,745,Ballot c
2014,Not applicable,Not at all true,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,746,Ballot a
2014,Not applicable,Not applicable,Not applicable,Somewhat unlikely,Strongly for,Not applicable,Not applicable,Not applicable,747,Ballot b
2014,Not applicable,Very true,Very unlikely,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,748,Ballot a
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,749,Ballot c
2014,Not applicable,Very true,Very likely,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,750,Ballot a
2014,Not applicable,Not too true,Not applicable,Dont know,For,Not applicable,Not applicable,Not applicable,751,Ballot b
2014,Not applicable,Very true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,752,Ballot c
2014,Not applicable,Very true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,753,Ballot c
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,754,Ballot c
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Very likely,755,Ballot c
2014,Not applicable,Very true,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,756,Ballot b
2014,Not applicable,Not applicable,Not applicable,Very likely,Strongly for,Not applicable,Not applicable,Very likely,757,Ballot a
