Gss year for this respondent                       ,Denied raise without reason at work,Promotions are handled fairly,A woman won't get a job or promotion             ,A man won't get a job or promotion  ,For or against preferential hiring of women      ,Favor preferences in hiring blacks,Sex makes your promotion different,Whites hurt by aff. action,Respondent id number,Ballot used for interview
2014,Not applicable,Somewhat true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,52,Ballot c
2014,Not applicable,Somewhat true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,53,Ballot c
2014,Not applicable,Not applicable,Not applicable,Somewhat unlikely,Strongly against,Not applicable,Not applicable,Not applicable,54,Ballot b
2014,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,55,Ballot a
2014,Not applicable,Very true,Not applicable,Very unlikely,Strongly for,Not applicable,Not applicable,Somewhat likely,56,Ballot a
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,57,Ballot c
2014,Not applicable,Somewhat true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,58,Ballot c
2014,Not applicable,Dont know,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,59,Ballot b
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,60,Ballot c
2014,Not applicable,Very true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,61,Ballot c
2014,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,62,Ballot b
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,63,Ballot c
2014,Not applicable,Dont know,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,64,Ballot c
2014,Not applicable,Not applicable,Dont know,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,65,Ballot a
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,66,Ballot c
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,67,Ballot c
2014,Not applicable,Somewhat true,Very likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,68,Ballot b
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,69,Ballot c
2014,Not applicable,Not at all true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Very likely,70,Ballot c
2014,Not applicable,Not applicable,Not applicable,Very unlikely,Strongly for,Not applicable,Not applicable,Not applicable,71,Ballot b
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,72,Ballot c
2014,Not applicable,Not applicable,Somewhat unlikely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,73,Ballot b
2014,Not applicable,Very true,Not applicable,Somewhat unlikely,Strongly against,Not applicable,Not applicable,Not applicable,74,Ballot b
2014,Not applicable,Not too true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,75,Ballot c
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,76,Ballot c
2014,Not applicable,Somewhat true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,77,Ballot c
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,78,Ballot c
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,79,Ballot c
2014,Not applicable,Not applicable,Not applicable,Very unlikely,Strongly for,Not applicable,Not applicable,Not very likely,80,Ballot a
2014,Not applicable,Very true,Not applicable,Very likely,Strongly for,Not applicable,Not applicable,Not applicable,81,Ballot b
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,82,Ballot c
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,83,Ballot c
2014,Not applicable,Not applicable,Somewhat unlikely,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,84,Ballot a
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,85,Ballot c
2014,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,86,Ballot b
2014,Not applicable,Not applicable,Not applicable,Very unlikely,Strongly for,Not applicable,Not applicable,Not applicable,87,Ballot b
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,88,Ballot c
2014,Not applicable,Not at all true,Not applicable,Somewhat likely,Strongly against,Not applicable,Not applicable,Somewhat likely,89,Ballot a
2014,Not applicable,Not too true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,90,Ballot c
